event_name,strain,snr,mass1,mass2,final_mass,iter,total_iters,time
GW150914,H1,19.690088272094727,33.83308854390812,36.379681148433534,70.21276969,17,42,1.3251051902770996
GW150914,L1,13.941120147705078,33.290581315593194,35.28510627706877,68.57568759,16,41,1.295865774154663
GW151012,H1,6.688383102416992,19.433133096152044,22.107408187992196,41.54054128,3,28,0.9094576835632324
GW151012,L1,5.055028915405273,19.269134095352896,17.912878099692026,37.1820122,4,29,0.9404335021972656
GW151226,H1,5.6463823318481445,11.0,11.0,22.0,0,25,0.811227560043335
GW151226,L1,5.823947906494141,26.948108911807427,27.688544479748725,54.63665339,32,57,1.775691032409668
GW170104,H1,8.791008949279785,30.69458469883617,27.324808095240762,58.01939279,19,44,1.3769197463989258
GW170104,L1,9.570137977600098,29.485955106690835,28.349829692702368,57.8357848,20,45,1.412445068359375
GW170608,H1,5.976049423217773,17.421780309186538,41.27845449452359,58.7002348,79,104,3.1868605613708496
GW170608,L1,5.062631607055664,25.447361417768438,18.607756248005998,44.05511767,52,77,2.386850118637085
GW170729,H1,5.471341133117676,26.52247542838139,26.88321687620964,53.4056923,42,67,2.1021382808685303
GW170729,L1,8.089871406555176,51.83611710733028,43.34220212345558,95.17831923,53,78,2.4266552925109863
GW170809,H1,6.184335708618164,34.822680093352304,19.184985144074183,54.00766524,53,78,2.4300949573516846
GW170809,L1,10.744437217712402,32.46708457197592,32.15952920150646,64.62661377,39,64,2.002624750137329
GW170814,H1,9.044133186340332,28.00697856172343,30.46141510919322,58.46839367,4,29,0.931279182434082
GW170814,L1,14.26610279083252,50.90695783225297,63.503710114216496,114.41066795,82,107,3.2837116718292236
GW170817,H1,4.950852394104004,11.0,11.0,22.0,0,25,0.8195436000823975
GW170817,L1,341.75262451171875,119.99173120370003,119.87308969024397,239.86482089,63,88,2.717407464981079
GW170818,H1,5.101656436920166,40.58864716328791,39.69308985820397,80.28173702,34,59,1.8368875980377197
GW170818,L1,10.324433326721191,35.21265349260844,36.71702618867849,71.92967968,43,68,2.106086015701294
GW170823,H1,6.852901935577393,34.22016026919592,40.00288379909565,74.22304407,74,99,3.032705783843994
GW170823,L1,9.694851875305176,39.13958702911241,42.88907604383926,82.02866307,21,46,1.445333480834961
